bonus,exitSurvey_age,exitSurvey_education,exitSurvey_fair,exitSurvey_feedback,exitSurvey_gender,exitSurvey_strength,exitSurvey_understood,gameId,idleRounds,isActive,name,originalGroup,originalName,playerId,score
7.05,19,high-school,Yes I felt the pay was fair. ,,Male,"I tried to recreate symbol from the shapes. If that didn't work, i would describe the shapes seen. After finding patterns, I would replicate them. ",yes,01KJ33KJSZTPJ1ZX8A32CVKHSG,0.0,True,Player,B,Zuda,01KJ36ETQEFCRFP2MBHTV3TAYN,141.0
,,,,,,,,,,,,,,01KJ36G0DCV5TZJPJ87N6GSRMG,
,,,,,,,,,,,,,,01KJ36HK99DFFR11BCEJG9B5S1,
7.2,35,bachelor,I do. It took a while but I think the pay was fine.,thank you :),Female,"I basically just used the same descriptions that worked in the early rounds. Once everyone else figured it out, it was super simple.",yes,01KJ33KJSZTPJ1ZX8A32CVKHSG,0.0,True,Player,A,Laju,01KJ36JHZG7RJW8JFPYPM1ZBSD,144.0
,,,,,,,,01KJ3479MNF10K5EC2GFV071ZN,,,,,,01KJ377J9BY0CB0CKGWRP4P6N0,
,,,,,,,,01KJ121CV2XXJR278VTN5JZ3B0,,,,,,01KJ160H8EPWD8XHTYVCJTA275,
6.76,22,high-school,Absolutely,"I almost disconnected from bad internet, really glad and thankful that your study is well programmed to still keep me in ",male,"I preferred describing basic shapes and stuff, was not really a fan of the interpretations that others went for, since those could be hit or miss. The guessing was easy and hard to mess up though ",yes,01KJ121CTDA8X8M3KFS5Z0C2DA,0.0,True,Player,A,Repi,01KJ1ADZVZREV8CZAR4J758GGY,135.0
6.5,47,bachelor,"Yes, more than fair!",No problems. Really well-run study. Good job!,female,I tried to find a common comparable object to describe it. I also copied others' descriptions when they were especially helpful.,yes,01KJ33KJSZTPJ1ZX8A32CVKHSG,0.0,True,Player,B,Hera,01KJ36ET4XZJSBET24EAAPG563,130.0
6.95,34,high-school,I do feel like it was fair.,No problems thank you,Male,Follow how others described the shapes and try to stay consistent with them.,yes,01KJ33KJSZTPJ1ZX8A32CVKHSG,0.0,True,Player,C,Felu,01KJ36FPQT07Q8H1HTHKNR9ZHN,139.0
,,,,,,,,,,,,,,01KJ36K512MBEKX422R3P44W19,
,,,,,,,,,,,,,,01KJ36N20RMK6W4XVHGAM25RGN,
7.4,45,bachelor,Yeah,None,male,I tried to make it as simple as possible for them to understand,yes,01KJ121CTDA8X8M3KFS5Z0C2DA,0.0,True,Player,C,Felu,01KJ1ADF5M161B12EA40N9T0MS,131.0
,,,,,,,,,,,,,,01KJ1AHH7FEH9HR97ZEFFFSDQ2,
,,,,,,,,,,,,,,01KJ36N2XHBTMYY0DS6J5H0J97,
,,,,,,,,,,,,,,01KJ1AECJV298J86AMJ2GB6WXW,
,,,,,,,,,,,,,,01KJ1AF30G51TR9SC5Z45XBJ37,
6.8,49,high-school,"Yes, it was fun also.",Next time make us work harder with more shapes,Female,I used the simplest terms possible to describe the shape.  ,yes,01KJ33KJSZTPJ1ZX8A32CVKHSG,0.0,True,Player,C,Lika,01KJ36FC5TV0WE77HY2CRQEVK9,136.0
7.1,53,bachelor,Totally! I'm glad I was able to join this experiment.,"This was all very well done. It's what I would expect from MIT. The software was flawless and the game was actually fun. It got my heart racing a little at first. I also got one wrong and it was upsetting, because it's a pretty easy task.",male,"I described the objects in the same way as others. I was a listener first, so that shaped the way I described objects. For example, I called one shape an axe, but I probably would have called it a T if I started as the speaker.",yes,01KJ33KJSZTPJ1ZX8A32CVKHSG,0.0,True,Player,A,Minu,01KJ36HPQGRRDA1JZ2BN1MDMN4,142.0
,,,,,,,,,,,,,,01KJ36JAP6GGEJN8KRME9QGXZQ,
,,,,,,,,01KJ3479MNF10K5EC2GFV071ZN,,,,,,01KJ36T1M4D7JQF3EP356QTYYF,
,,,,,,,,01KJ121EE1901M9N1FKCNK0ZJH,,,,,,01KJ121TBHHSB7R4622M18B2SB,
6.95,44,high-school,yes,i did not encounter any problems,female,I tried to make sure that I chose the right one,yes,01KJ33KJSZTPJ1ZX8A32CVKHSG,0.0,True,Player,C,Nori,01KJ36F4YDX6CZ5RBVN7KN0VFA,139.0
,,,,,,,,,,,,,,01KJ1AEQWJTJ6QJ5BP81GC7SAX,
6.88,31,master,Yes it was okay,,Female,"When you were in the first round with a dedicated team, it was much easier to come up with the same shape as we were calling it the same thing each time. In the round following it, every one had their own naming conventions so it made it more difficult to guess them correctly and also get them to guess yours.",yes,01KJ121CTDA8X8M3KFS5Z0C2DA,0.0,True,Player,A,Minu,01KJ1AH433HDWM46XC8PJAA0A7,126.0
6.65,41,high-school,yes,"No problems, i enjoyed the randomness of the game with the instructions. Also it allowed you to see how everyone views shapes and how they would describe it.",male,it was a good game with clear instructions,yes,01KJ33KJSZTPJ1ZX8A32CVKHSG,0.0,True,Player,B,Bavi,01KJ36HP23RMC93E849APAJY04,133.0
8.16,70,master,"Yes, very much so, thank you!","I was dinged for non-response once, but that was because the speaker wrote a book :D",female,See what the shape resembled rather than describing geometric shapes,yes,01KJ121CTDA8X8M3KFS5Z0C2DA,0.0,True,Player,B,Bavi,01KJ1AD4HAYZZ2TP80YYVT6CS2,134.0
5.72,34,high-school,Yes I do,"The only problem was concerning the strike against me for inactivity, when I was really struggling to come up with a good description for one of the images. Ever since that strike, it felt like I had to compromise the quality of my description just to not get kicked out of the experiment",male,"I tried to simplify my descriptions; make it about what you can easily identify in the picture. Whatever description works, just keep at it",yes,01KJ121CTDA8X8M3KFS5Z0C2DA,0.0,True,Player,C,Lika,01KJ1AEMA6765ECKJ6NX8GGDF2,121.0
,,,,,,,,,,,,,,01KJ1APGS17358Z41HR45MW3B4,
,,,,,,,,,,,,,,01KJ36HPKAD0J4J1KM6ZSK8PTK,
,,,,,,,,01KJ121CV2XXJR278VTN5JZ3B0,,,,,,01KJ18ETJG2D00V2CZ7CD5M25G,
7.72,47,high-school,the pay was very fair,no problems and it was a fun experience,female,I tried to make sure I described the images in a way that all could understand and thoroughly. I felt it was best to keep the same descriptions each time I came across as a speaker. ,yes,01KJ121CTDA8X8M3KFS5Z0C2DA,0.0,True,Player,C,Nori,01KJ1ADZ3BQAVZHF51FQ5WJ14K,127.0
7.52,21,bachelor,"I felt that the pay was fair, but maybe a slightly higher bonus would be nice.",Very cool study! Perfectly timed.,Male,My strategy was to use the exact same language that I used in the first phase so I could be easily identified.,yes,01KJ121CTDA8X8M3KFS5Z0C2DA,0.0,True,Player,B,Hera,01KJ1AEJK9C91FE2EF1F6KAWDY,133.0
,,,,,,,,,,,,,,01KJ1AFH9526NNAR9P5WQWT58B,
7.2,33,bachelor,"Yes, and it was a lot of fun!",No,female,Trying to find things to compare the shapes to quickly that would be the most easily recognizable.,yes,01KJ33KJSZTPJ1ZX8A32CVKHSG,0.0,True,Player,A,Repi,01KJ36H4JT5FXT099834BWVZ2X,144.0
,,,,,,,,,,,,,,01KJ36NVSV1RYY0DESF9AS5Z5A,
7.52,33,bachelor,"Yes, thank you. ",I'd be glad to participate in studies like this anytime :),Male,It was all about communication patterns. ,yes,01KJ121CTDA8X8M3KFS5Z0C2DA,0.0,True,Player,B,Zuda,01KJ1ACD2B6QR45E93SRAYX5VB,136.0
0.32,,,,,,,,01KJ121CTDA8X8M3KFS5Z0C2DA,2.0,False,Laju,A,Laju,01KJ1AE4PFRCANQZXY7E9DGC0N,8.0
