group_id,round_num,block_num,target,speaker_id,listener_id,selection,correct,parse_error
G01,0,0,page-B,0,1,page7-107,False,False
G01,0,0,page-B,0,2,page9-7,False,False
G01,1,0,page7-107,0,1,page9-46,False,False
G01,1,0,page7-107,0,2,page4-157,False,False
G01,2,0,page7-255,0,1,page7-107,False,False
G01,2,0,page7-255,0,2,page7-255,True,False
G01,3,0,page3-35,0,1,page5-28,False,False
G01,3,0,page3-35,0,2,page3-35,True,False
G01,4,0,page5-28,0,1,page9-7,False,False
G01,4,0,page5-28,0,2,page3-121,False,False
G01,5,0,page9-46,0,1,page7-255,False,False
G01,5,0,page9-46,0,2,page7-255,False,False
G01,6,1,page7-107,1,0,page7-107,True,False
G01,6,1,page7-107,1,2,page4-157,False,False
G01,7,1,page9-46,1,0,page9-46,True,False
G01,7,1,page9-46,1,2,page9-46,True,False
G01,8,1,page5-28,1,0,page5-63,False,False
G01,8,1,page5-28,1,2,page6-149,False,False
G01,9,1,page-B,1,0,page-B,True,False
G01,9,1,page-B,1,2,page-B,True,False
G01,10,1,page7-255,1,0,page7-255,True,False
G01,10,1,page7-255,1,2,page7-255,True,False
G01,11,1,page3-35,1,0,page9-7,False,False
G01,11,1,page3-35,1,2,page3-35,True,False
G01,12,2,page7-255,2,0,page7-255,True,False
G01,12,2,page7-255,2,1,page7-255,True,False
G01,13,2,page9-46,2,0,page9-46,True,False
G01,13,2,page9-46,2,1,page9-46,True,False
G01,14,2,page7-107,2,0,page7-107,True,False
G01,14,2,page7-107,2,1,page7-107,True,False
G01,15,2,page3-35,2,0,page3-35,True,False
G01,15,2,page3-35,2,1,page3-35,True,False
G01,16,2,page5-28,2,0,page5-28,True,False
G01,16,2,page5-28,2,1,page5-28,True,False
G01,17,2,page-B,2,0,page-B,True,False
G01,17,2,page-B,2,1,page-B,True,False
G01,18,3,page5-28,0,1,page5-28,True,False
G01,18,3,page5-28,0,2,page6-149,False,False
G01,19,3,page7-107,0,1,page7-107,True,False
G01,19,3,page7-107,0,2,page7-107,True,False
G01,20,3,page3-35,0,1,page3-35,True,False
G01,20,3,page3-35,0,2,page3-35,True,False
G01,21,3,page7-255,0,1,page7-255,True,False
G01,21,3,page7-255,0,2,page7-255,True,False
G01,22,3,page-B,0,1,page-B,True,False
G01,22,3,page-B,0,2,page-B,True,False
G01,23,3,page9-46,0,1,page9-46,True,False
